Finance Portfolio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Real Risk Premium,Real Risk Premium
Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1928,43.81%,59.91%,3.08%,0.84%,3.22%,1.49%,0.10%,$143.81,$159.91,$103.08,$100.84,$103.22,$101.49,$100.10,40.73%,42.98%,16.10%,40.59%,,-1.16%,45.49%,61.78%,4.29%,2.01%,4.43%,2.68%,1.27%,$145.49,$161.78,$104.29,$102.01,$104.43,$102.68,$101.27,41.21%,43.48%
1929,-8.30%,-46.61%,3.16%,4.20%,3.02%,-2.06%,-0.15%,$131.88,$85.38,$106.34,$105.07,$106.33,$99.40,$99.95,-11.46%,-12.50%,-38.31%,-11.32%,,0.58%,-8.83%,-46.92%,2.56%,3.60%,2.42%,-2.63%,-0.73%,$132.64,$85.87,$106.96,$105.69,$106.95,$99.98,$100.53,-11.39%,-12.43%
1930,-25.12%,-50.03%,4.55%,4.54%,0.54%,-4.30%,0.10%,$98.75,$42.66,$111.18,$109.85,$106.91,$95.13,$100.05,-29.67%,-29.66%,-24.91%,-25.66%,,-6.40%,-20.01%,-46.62%,11.69%,11.68%,7.41%,2.24%,6.94%,$106.11,$45.84,$119.46,$118.03,$114.88,$102.22,$107.51,-31.70%,-31.69%
1931,-43.84%,-44.66%,2.31%,-2.56%,-15.68%,-8.15%,-17.38%,$55.46,$23.61,$113.74,$107.03,$90.14,$87.38,$82.66,-46.15%,-41.28%,-0.82%,-28.16%,,-9.32%,-38.07%,-38.97%,12.82%,7.45%,-7.02%,1.29%,-8.90%,$65.71,$27.98,$134.78,$126.83,$106.82,$103.53,$97.94,-50.89%,-45.52%
1932,-8.64%,20.49%,1.07%,8.79%,23.59%,-10.47%,21.28%,$50.66,$28.45,$114.96,$116.44,$111.41,$78.23,$100.24,-9.71%,-17.43%,29.13%,-32.23%,,-10.27%,1.82%,34.29%,12.64%,21.25%,37.74%,-0.21%,35.16%,$66.91,$37.57,$151.82,$153.78,$147.13,$103.31,$132.38,-10.82%,-19.43%
1933,49.98%,148.34%,0.96%,1.86%,12.97%,-3.81%,27.26%,$75.99,$70.65,$116.06,$118.60,$125.86,$75.25,$127.57,49.02%,48.13%,98.36%,37.02%,,0.76%,48.85%,146.46%,0.20%,1.08%,12.11%,-4.54%,26.30%,$99.59,$92.59,$152.11,$155.44,$164.95,$98.62,$167.19,48.65%,47.76%
1934,-1.19%,20.01%,0.28%,7.96%,18.82%,2.91%,31.75%,$75.09,$84.78,$116.39,$128.05,$149.54,$77.44,$168.07,-1.47%,-9.15%,21.20%,-20.00%,,1.52%,-2.66%,18.22%,-1.22%,6.35%,17.04%,1.37%,29.78%,$96.94,$109.46,$150.26,$165.32,$193.06,$99.97,$216.99,-1.45%,-9.02%
1935,46.74%,53.18%,0.17%,4.47%,13.31%,9.77%,0.43%,$110.18,$129.87,$116.58,$133.78,$169.44,$85.00,$168.80,46.57%,42.27%,6.44%,33.43%,,2.99%,42.49%,48.74%,-2.74%,1.44%,10.02%,6.58%,-2.48%,$138.12,$162.81,$146.15,$167.70,$212.41,$106.55,$211.61,45.22%,41.04%
1936,31.94%,92.82%,0.17%,5.02%,11.38%,3.22%,0.09%,$145.38,$250.41,$116.78,$140.49,$188.73,$87.73,$168.94,31.77%,26.93%,60.88%,20.56%,,1.45%,30.06%,90.07%,-1.26%,3.52%,9.79%,1.74%,-1.34%,$179.64,$309.44,$144.31,$173.60,$233.21,$108.41,$208.77,31.32%,26.54%
