time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
685,1,1024,1,,,,,,,,,,,
262,7,2048,2,0.02080078125,-8.512042504549026,0.04141469731694088,0.005673201,-0.9278582334518433,-0.033218156546354294,0.9995047450065613,0.0001,0.2,10,-0.006032921312726103
248,12,3072,3,0.0224609375,-8.510808140039444,0.0369051021290943,0.0061365645,0.10888296365737915,-0.041036829352378845,0.9993579983711243,0.0001,0.2,20,-0.004982502092025243
294,13,4096,4,0.037890625,-8.511152786016464,0.040614203386940065,0.0072454643,0.29438066482543945,-0.03248926252126694,1.0000625848770142,0.0001,0.2,30,-0.006179891899228096
329,15,5120,5,0.04423828125,-8.516711604595184,0.050679270480759445,0.0073567554,0.36606287956237793,-0.018063627183437347,1.0007468461990356,0.0001,0.2,40,-0.008361585336388089
352,17,6144,6,0.02373046875,-8.519553065299988,0.0557000826112926,0.006267727,0.42851608991622925,-0.00872575119137764,1.0010915994644165,0.0001,0.2,50,-0.005267780704889447
368,19,7168,7,0.0408203125,-8.523323893547058,0.060283237718977034,0.0058946814,0.4582974314689636,-0.03601650893688202,1.0020556449890137,0.0001,0.2,60,-0.006684928858885541
390,20,8192,8,0.0318359375,-8.526181644201278,0.06033482064958662,0.0063283364,0.5120803713798523,-0.047818370163440704,1.0019750595092773,0.0001,0.2,70,-0.006103615582105704
405,22,9216,9,0.05224609375,-8.531233131885529,0.060322226793505254,0.0071441988,0.5247212052345276,-0.023969531059265137,1.0037641525268555,0.0001,0.2,80,-0.0088826717750635
412,24,10240,10,0.0447265625,-8.528695511817933,0.05496443994343281,0.007311646,0.5653399229049683,-0.019723281264305115,1.001218318939209,0.0001,0.2,90,-0.007341951335547492
427,26,11264,11,0.01337890625,-8.52179133296013,0.05444746981374919,0.004889031,0.5889700651168823,-0.015601485967636108,1.0017786026000977,0.0001,0.2,100,-0.0037384806491900235
439,27,12288,12,0.058203125,-8.524858403205872,0.053661388030741365,0.008981132,0.6130188703536987,-0.040359534323215485,1.0019999742507935,0.0001,0.2,110,-0.009719486758694985
448,29,13312,13,0.0578125,-8.529599606990814,0.0567785668419674,0.0069761323,0.6011147499084473,-0.017564896494150162,1.0034286975860596,0.0001,0.2,120,-0.008537603440345265
451,31,14336,14,0.04169921875,-8.531882846355439,0.051069075579289344,0.0070313057,0.6251487135887146,-0.03744587302207947,1.0027735233306885,0.0001,0.2,130,-0.006814098625909537
461,33,15360,15,0.04921875,-8.52686658501625,0.048422581795603034,0.007166269,0.648934006690979,-0.03951253369450569,1.0018728971481323,0.0001,0.2,140,-0.0075887493905611334
470,34,16384,16,0.041015625,-8.52375739812851,0.046736760984640566,0.0073611415,0.6538131237030029,-0.01886792480945587,1.0018810033798218,0.0001,0.2,150,-0.006089557521045208
477,36,17408,17,0.0439453125,-8.52082062959671,0.04311763470759615,0.007290571,0.6677896976470947,-0.026432756334543228,1.0007686614990234,0.0001,0.2,160,-0.005939968378515914
485,37,18432,18,0.04443359375,-8.516662502288819,0.04261465735035017,0.0065638637,0.6762267351150513,-0.03513546288013458,1.0004726648330688,0.0001,0.2,170,-0.006822282137000002
491,39,19456,19,0.0236328125,-8.511526662111283,0.03996260792482644,0.0055609737,0.6867250204086304,-0.023800209164619446,0.9992490410804749,0.0001,0.2,180,-0.004812369251158089
497,41,20480,20,0.02919921875,-8.506673067808151,0.037576534505933526,0.005465618,0.7208375930786133,-0.012751705944538116,0.9987267851829529,0.0001,0.2,190,-0.005494482858921401
498,43,21504,21,0.05693359375,-8.501716905832291,0.038733117282390594,0.0069553126,0.7160900831222534,-0.07091130316257477,0.997473955154419,0.0001,0.2,200,-0.007700943294912577
499,45,22528,22,0.06689453125,-8.491701775789261,0.03912743367254734,0.0072188214,0.7238966226577759,-0.04995252192020416,0.9955345988273621,0.0001,0.2,210,-0.007322273563477211
504,46,23552,23,0.0361328125,-8.478150308132172,0.03268730987329036,0.006213325,0.7489502429962158,-0.013293063268065453,0.9929617047309875,0.0001,0.2,220,-0.0057957768556661906
509,48,24576,24,0.0244140625,-8.479378819465637,0.03542890448588878,0.0048843427,0.7362462282180786,-0.02807067334651947,0.9962201714515686,0.0001,0.2,230,-0.004128450198913924
514,49,25600,25,0.06728515625,-8.48729402422905,0.030774586054030807,0.0073239086,0.7557432651519775,-0.03994513303041458,0.995349109172821,0.0001,0.2,240,-0.008204554488474968
518,51,26624,26,0.054296875,-8.481584078073501,0.030360938631929457,0.007016709,0.7642678022384644,-0.02724362351000309,0.9944899082183838,0.0001,0.2,250,-0.005912804856779985
522,52,27648,27,0.0791015625,-8.473361885547638,0.03045691185398027,0.007043015,0.7712821960449219,-0.027522115036845207,0.9923800826072693,0.0001,0.2,260,-0.009351445450738538
525,54,28672,28,0.0291015625,-8.463108575344085,0.03044254705309868,0.005339427,0.7791649699211121,-0.008620280772447586,0.9912733435630798,0.0001,0.2,270,-0.005051894980715588
524,56,29696,29,0.0462890625,-8.455151933431626,0.030402709590271117,0.0071954206,0.7830287218093872,-0.013896377757191658,0.989753246307373,0.0001,0.2,280,-0.0067957063612993805
526,58,30720,30,0.06416015625,-8.449659180641174,0.025952775176847354,0.008408183,0.8026336431503296,-0.0315854474902153,0.9893913269042969,0.0001,0.2,290,-0.010097776577458717
530,59,31744,31,0.03564453125,-8.448742139339448,0.02447080156416632,0.006377912,0.8147175312042236,-0.027691416442394257,0.9895183444023132,0.0001,0.2,300,-0.006519121295423247
533,61,32768,32,0.06083984375,-8.444599407911301,0.02380384673597291,0.007819331,0.8177108764648438,-0.03659967705607414,0.9879915714263916,0.0001,0.2,310,-0.008167057723039762
535,63,33792,33,0.011328125,-8.435371226072311,0.021928310306975618,0.0036475519,0.8258364796638489,-0.0271716620773077,0.9867814183235168,0.0001,0.2,320,-0.0022972833598032595
538,64,34816,34,0.0421875,-8.422941267490387,0.023562615236733107,0.0074880645,0.8271641731262207,-0.04684152826666832,0.9838979840278625,0.0001,0.2,330,-0.007653326689614914
541,66,35840,35,0.06123046875,-8.412473171949387,0.02240394105319865,0.007653039,0.8197106122970581,-0.06775850802659988,0.9835873246192932,0.0001,0.2,340,-0.008739730290835723
542,67,36864,36,0.04765625,-8.413461530208588,0.020545390230836347,0.0069148527,0.8370227813720703,-0.05322550609707832,0.9839183688163757,0.0001,0.2,350,-0.006791697071457747
541,69,37888,37,0.0640625,-8.408516877889634,0.018574106419691816,0.008024866,0.8540157079696655,-0.061680905520915985,0.9816377758979797,0.0001,0.2,360,-0.00807419759221375
543,71,38912,38,0.08037109375,-8.403556829690933,0.01827737394487485,0.0074600177,0.8584975600242615,-0.04420347884297371,0.9826332926750183,0.0001,0.2,370,-0.009914755760109983
