time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
156,3,512,1,,,,,,,,,,,
41,24,1024,2,0.0021484375,-8.514721965789795,0.0322338389698416,0.0019020508,-0.039624929428100586,-0.03930428624153137,1.0003403425216675,0.0001,0.2,10,-0.003108046262059361
35,43,1536,3,0.028125,-8.517179727554321,0.029755878960713744,0.005652113,-0.017953872680664062,-0.03582931309938431,1.000894546508789,0.0001,0.2,20,-0.006246766416006721
33,61,2048,4,0.013671875,-8.522394549846648,0.02881849980331026,0.0054908157,0.010235011577606201,-0.013895390555262566,1.0021113157272339,0.0001,0.2,30,-0.004444399051135406
32,79,2560,5,0.066015625,-8.526296162605286,0.0297565110726282,0.009524429,-0.07007944583892822,-0.06617987900972366,1.001970887184143,0.0001,0.2,40,-0.011883884749840945
31,96,3072,6,0.039453125,-8.525606489181518,0.028599992906674743,0.00667144,-0.024100422859191895,-0.04430284723639488,1.0019546747207642,0.0001,0.2,50,-0.006677534471964464
30,115,3584,7,0.0716796875,-8.525709772109986,0.02826748895458877,0.009033649,0.02243030071258545,-0.03714509680867195,1.0018409490585327,0.0001,0.2,60,-0.012172159511828795
30,133,4096,8,0.0564453125,-8.527691614627837,0.02415361671010032,0.008626149,0.14116311073303223,-0.03831794857978821,1.0030615329742432,0.0001,0.2,70,-0.010365987633122131
30,151,4608,9,0.034375,-8.529479658603668,0.04814815679565072,0.0063515357,-0.06934452056884766,-0.01778043992817402,1.0020726919174194,0.0001,0.2,80,-0.0074219604692189025
30,169,5120,10,0.0474609375,-8.525890398025513,0.033867486176313834,0.006436091,0.02376270294189453,-0.030973773449659348,1.002059817314148,0.0001,0.2,90,-0.007992944651050493
30,186,5632,11,0.05390625,-8.52442616224289,0.02963287939783186,0.008816257,0.06638425588607788,-0.05531904846429825,1.0015803575515747,0.0001,0.2,100,-0.01234350526938215
30,203,6144,12,0.0455078125,-8.52390285730362,0.059185618860647084,0.006902026,0.02507185935974121,-0.03591935709118843,1.0018731355667114,0.0001,0.2,110,-0.009510307204618585
29,222,6656,13,0.0896484375,-8.524623346328735,0.028676575905410572,0.009679239,0.0644296407699585,-0.06505335122346878,1.0016323328018188,0.0001,0.2,120,-0.014391986647387967
29,240,7168,14,0.0869140625,-8.526366174221039,0.028421454585622997,0.011115993,0.08363115787506104,-0.050455570220947266,1.002752423286438,0.0001,0.2,130,-0.010622048133518547
29,260,7680,15,0.04921875,-8.529047584533691,0.0235473757609725,0.0075637028,0.12781989574432373,-0.06226189434528351,1.002276062965393,0.0001,0.2,140,-0.008269531989935786
29,278,8192,16,0.066015625,-8.529026985168457,0.029125487245619298,0.00794654,0.07602816820144653,-0.037921614944934845,1.0031005144119263,0.0001,0.2,150,-0.00991235880064778
29,294,8704,17,0.1162109375,-8.534203362464904,0.01815722605679184,0.010313352,0.08651930093765259,-0.05457988381385803,1.0038100481033325,0.0001,0.2,160,-0.013935184886213392
29,312,9216,18,0.0892578125,-8.535107564926147,0.031303642888087777,0.007730827,0.13877296447753906,-0.04343082383275032,1.0032004117965698,0.0001,0.2,170,-0.011184162355493753
29,330,9728,19,0.0548828125,-8.534043037891388,0.04277723765117116,0.00805774,0.018675148487091064,-0.057761095464229584,1.003774881362915,0.0001,0.2,180,-0.008102399396011605
29,349,10240,20,0.0765625,-8.534355866909028,0.025545370846521108,0.011715695,0.009136617183685303,-0.05264094099402428,1.0031393766403198,0.0001,0.2,190,-0.01314898026175797
29,368,10752,21,0.0888671875,-8.527462983131409,0.028459806158207358,0.010384962,0.09935271739959717,-0.03326083719730377,1.0015631914138794,0.0001,0.2,200,-0.016084120614686982
