time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
444,2,1024,1,,,,,,,,,,,
246,8,2048,2,0.01142578125,-8.519135683774948,0.03269198244670406,0.0044474723,-0.12664246559143066,-0.03958365321159363,1.0022227764129639,0.0001,0.2,10,-0.0035819554701447486
291,10,3072,3,0.0123046875,-8.526043236255646,0.03833860735176131,0.0042176093,0.15129995346069336,-0.042980242520570755,1.0015122890472412,0.0001,0.2,20,-0.003515531966695562
337,12,4096,4,0.04814453125,-8.527581202983857,0.05081396346213296,0.007561192,0.19395285844802856,-0.06487379968166351,1.0032227039337158,0.0001,0.2,30,-0.008052374867838807
371,13,5120,5,0.011328125,-8.534808945655822,0.06628691607620567,0.003337916,0.23479843139648438,-0.009151684120297432,1.003514289855957,0.0001,0.2,40,-0.003619119084032718
399,15,6144,6,0.0142578125,-8.53393787741661,0.07812365824356675,0.0037818411,0.2544897794723511,-0.03152942657470703,1.0030385255813599,0.0001,0.2,50,-0.004056193635915406
422,16,7168,7,0.05126953125,-8.53280050754547,0.08293152316473425,0.0067573525,0.2835853099822998,-0.014933004975318909,1.0033397674560547,0.0001,0.2,60,-0.006853204872459173
429,19,8192,8,0.05849609375,-8.53556403517723,0.08440187342930586,0.0075310427,0.3061412572860718,0.02225039154291153,1.0038435459136963,0.0001,0.2,70,-0.008155645029910374
440,20,9216,9,0.04462890625,-8.546891498565675,0.08325778525322676,0.0080547575,0.3401637077331543,-0.014789078384637833,1.0073484182357788,0.0001,0.2,80,-0.0070181103277718645
455,22,10240,10,0.03251953125,-8.561030906438827,0.08199918773025275,0.0054326616,0.35356277227401733,-0.024512633681297302,1.0083526372909546,0.0001,0.2,90,-0.006022200667939614
467,24,11264,11,0.01806640625,-8.556040066480637,0.08042258177883924,0.0051255226,0.38323497772216797,-0.0029527395963668823,1.0056990385055542,0.0001,0.2,100,-0.004387618909822777
478,25,12288,12,0.07060546875,-8.549718922376632,0.08417957650963218,0.008661462,0.3928902745246887,-0.004539255052804947,1.0062981843948364,0.0001,0.2,110,-0.009481951335328632
488,27,13312,13,0.0201171875,-8.554887759685517,0.08480786606669426,0.004571812,0.40281742811203003,-0.025446783751249313,1.00753653049469,0.0001,0.2,120,-0.004143796599237248
496,28,14336,14,0.053515625,-8.562341672182082,0.08538620448671282,0.008543054,0.4150795340538025,0.004378311336040497,1.0088330507278442,0.0001,0.2,130,-0.0066427888028556484
501,30,15360,15,0.03046875,-8.572106766700745,0.07975475452840328,0.005915442,0.43214815855026245,-0.010676708072423935,1.010872721672058,0.0001,0.2,140,-0.005624406668357551
499,32,16384,16,0.04765625,-8.5807373046875,0.08204805662389844,0.0067463154,0.44151049852371216,-0.011184688657522202,1.0117532014846802,0.0001,0.2,150,-0.006449567506206222
